price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,badges_count,product_color,product_variation_inventory,shipping_option_price,countries_shipped_to,has_urgency_banner,merchant_rating_count,merchant_rating,merchant_has_profile_picture
2.115620824,2.040630314,3.471686819,0,1.430395629,2.93910113,0,90,50,1.454517385,2.593661054,1,5.551603861,1.467002821,0
1.754197044,2.305775078,14.53585357,1,1.39751511,10.56169609,0,40,50,1.206033741,2.728271139,1,14.07489661,1.444565895,0
1.754197044,2.763617671,3.471686819,0,1.410489275,2.040630314,0,48,1,1.345710653,2.634039586,1,4.650712188,1.453517018,0
1.754197044,1.754197044,9.993592182,1,1.457457698,5.580458491,0,13,50,1.206033741,2.728271139,0,15.24110127,1.456521939,0
1.310542336,1.345710653,3.471686819,1,1.357689495,2.247137921,0,100,1,1,2.614060819,1,13.32135049,1.454673446,0
1.446597085,1.810937162,1.863246312,0,1.544937134,1,0,63,1,1,2.710124154,0,3.090128809,1.403793107,0
1.692017598,1.622972454,18.62052378,0,1.438557938,10.83447245,0,90,50,1.206033741,2.529709945,0,12.11536175,1.461985288,1
1.957359541,1.911866143,6.468607662,0,1.430395629,4.61193005,0,20,50,1.345710653,3.79483755,0,4.840295995,1.422239943,0
1.911866143,3.311886789,3.471686819,1,1.399700099,2.07903836,0,13,50,1.206033741,2.634039586,1,4.793794836,1.43480154,0
1.606669106,2.305775078,9.993592182,0,1.413682973,5.844469063,0,12,50,1.206033741,2.572818636,0,10.27146059,1.454499626,0
1.607419903,1.544937134,6.468607662,0,1.398608756,5.66718899,0,41,2,1.206033741,2.386830748,1,11.87651943,1.45025602,0
1.622972454,1.754197044,3.471686819,1,1.38195548,2.000164758,0,50,2,1.206033741,2.710124154,1,9.085695907,1.452921322,0
1.191118484,1.622972454,6.468607662,1,1.39751511,3.809518004,0,68,1,1,2.672812783,0,5.522338524,1.466556722,0
1.607419903,2.746097953,6.468607662,0,1.383082642,3.65523215,0,79,50,1.206033741,2.763617671,0,10.03815931,1.449330101,0
1.206033741,1.206033741,14.53585357,1,1.418962913,8.24756445,0,100,1,1,2.634039586,0,19.15310687,1.467997254,0
1.911866143,3.279493405,6.468607662,0,1.446597085,5.136310183,0,1,50,1.345710653,2.728271139,0,17.45699105,1.460996761,0
1.911866143,1.863246312,12.05260937,0,1.426266871,7.861868507,0,79,50,1.206033741,2.593661054,0,10.63863855,1.450415969,0
1.544937134,2.386830748,22.45697996,1,1.437544476,14.12352681,0,90,50,1,2.728271139,1,24.55795272,1.447949953,0
1.810937162,1.810937162,14.53585357,0,1.436529082,10.24376981,0,20,50,1.345710653,2.763617671,0,14.93143804,1.462480245,0
1.692017598,1.692017598,6.468607662,0,1.421060114,4.264239221,0,79,7,1.206033741,2.728271139,1,9.139063823,1.460611541,0
1.911866143,1.863246312,9.993592182,0,1.438557938,6.769185531,0,40,50,1.345710653,3.140409198,0,15.20242476,1.479165957,0
1.544937134,1.622972454,14.53585357,0,1.413682973,9.111445582,0,13,11,1.206033741,2.728271139,0,12.91482183,1.452680053,1
